"n","policy","mean_risk","lib_id","task_id","lib_label","task_label"
1,"Exact",58492365.8283843,1,"Bures","Library 1: Pauli PVMs","Bures"
2,"Exact",31106870.2486118,1,"Bures","Library 1: Pauli PVMs","Bures"
3,"Exact",0.778439867322937,1,"Bures","Library 1: Pauli PVMs","Bures"
4,"Exact",0.648603671032123,1,"Bures","Library 1: Pauli PVMs","Bures"
5,"Exact",0.544759995410035,1,"Bures","Library 1: Pauli PVMs","Bures"
6,"Exact",0.467928735463651,1,"Bures","Library 1: Pauli PVMs","Bures"
7,"Exact",0.410198949201023,1,"Bures","Library 1: Pauli PVMs","Bures"
8,"Exact",0.353388892184738,1,"Bures","Library 1: Pauli PVMs","Bures"
9,"Exact",0.310866529174929,1,"Bures","Library 1: Pauli PVMs","Bures"
10,"Exact",0.281116590145648,1,"Bures","Library 1: Pauli PVMs","Bures"
11,"Exact",0.230786894332273,1,"Bures","Library 1: Pauli PVMs","Bures"
12,"Exact",0.205133868864598,1,"Bures","Library 1: Pauli PVMs","Bures"
13,"Exact",0.187624069584556,1,"Bures","Library 1: Pauli PVMs","Bures"
14,"Exact",0.173766340841544,1,"Bures","Library 1: Pauli PVMs","Bures"
15,"Exact",0.160323652636312,1,"Bures","Library 1: Pauli PVMs","Bures"
16,"Exact",0.150628371834815,1,"Bures","Library 1: Pauli PVMs","Bures"
17,"Exact",0.141206507059235,1,"Bures","Library 1: Pauli PVMs","Bures"
18,"Exact",0.132714846479403,1,"Bures","Library 1: Pauli PVMs","Bures"
19,"Exact",0.126043920765834,1,"Bures","Library 1: Pauli PVMs","Bures"
20,"Exact",0.119748070559809,1,"Bures","Library 1: Pauli PVMs","Bures"
21,"Exact",0.113711204125672,1,"Bures","Library 1: Pauli PVMs","Bures"
22,"Exact",0.109002604124556,1,"Bures","Library 1: Pauli PVMs","Bures"
23,"Exact",0.104115234102935,1,"Bures","Library 1: Pauli PVMs","Bures"
24,"Exact",0.0994505091175213,1,"Bures","Library 1: Pauli PVMs","Bures"
25,"Exact",0.095409975441509,1,"Bures","Library 1: Pauli PVMs","Bures"
26,"Exact",0.0916538730628706,1,"Bures","Library 1: Pauli PVMs","Bures"
27,"Exact",0.0877897614715233,1,"Bures","Library 1: Pauli PVMs","Bures"
28,"Exact",0.0846916126736575,1,"Bures","Library 1: Pauli PVMs","Bures"
29,"Exact",0.081705077788492,1,"Bures","Library 1: Pauli PVMs","Bures"
30,"Exact",0.0788352286528757,1,"Bures","Library 1: Pauli PVMs","Bures"
31,"Exact",0.0764123450235267,1,"Bures","Library 1: Pauli PVMs","Bures"
32,"Exact",0.0739973892678229,1,"Bures","Library 1: Pauli PVMs","Bures"
33,"Exact",0.0716505259585599,1,"Bures","Library 1: Pauli PVMs","Bures"
34,"Exact",0.0695914056218431,1,"Bures","Library 1: Pauli PVMs","Bures"
35,"Exact",0.0673628854877867,1,"Bures","Library 1: Pauli PVMs","Bures"
36,"Exact",0.0653422501679649,1,"Bures","Library 1: Pauli PVMs","Bures"
37,"Exact",0.0635487176879541,1,"Bures","Library 1: Pauli PVMs","Bures"
38,"Exact",0.0618310475895956,1,"Bures","Library 1: Pauli PVMs","Bures"
39,"Exact",0.0601549627038295,1,"Bures","Library 1: Pauli PVMs","Bures"
40,"Exact",0.0587295408806319,1,"Bures","Library 1: Pauli PVMs","Bures"
41,"Exact",0.0572645186338348,1,"Bures","Library 1: Pauli PVMs","Bures"
42,"Exact",0.0558503884180097,1,"Bures","Library 1: Pauli PVMs","Bures"
43,"Exact",0.0545701458450291,1,"Bures","Library 1: Pauli PVMs","Bures"
44,"Exact",0.0533378709883857,1,"Bures","Library 1: Pauli PVMs","Bures"
45,"Exact",0.0521331037752003,1,"Bures","Library 1: Pauli PVMs","Bures"
46,"Exact",0.0510426008004199,1,"Bures","Library 1: Pauli PVMs","Bures"
47,"Exact",0.0499276513693846,1,"Bures","Library 1: Pauli PVMs","Bures"
48,"Exact",0.0488654405608174,1,"Bures","Library 1: Pauli PVMs","Bures"
49,"Exact",0.0478835885152413,1,"Bures","Library 1: Pauli PVMs","Bures"
50,"Exact",0.0469378500369276,1,"Bures","Library 1: Pauli PVMs","Bures"
1,"GI1",58492365.8283843,1,"Bures","Library 1: Pauli PVMs","Bures"
2,"GI1",31106870.2486118,1,"Bures","Library 1: Pauli PVMs","Bures"
3,"GI1",0.778439867322937,1,"Bures","Library 1: Pauli PVMs","Bures"
4,"GI1",0.648695274074966,1,"Bures","Library 1: Pauli PVMs","Bures"
5,"GI1",0.539774332375142,1,"Bures","Library 1: Pauli PVMs","Bures"
6,"GI1",0.464815537802205,1,"Bures","Library 1: Pauli PVMs","Bures"
7,"GI1",0.403795743309774,1,"Bures","Library 1: Pauli PVMs","Bures"
8,"GI1",0.353458392444452,1,"Bures","Library 1: Pauli PVMs","Bures"
9,"GI1",0.314004545573373,1,"Bures","Library 1: Pauli PVMs","Bures"
10,"GI1",0.278089965734663,1,"Bures","Library 1: Pauli PVMs","Bures"
11,"GI1",0.230449162960041,1,"Bures","Library 1: Pauli PVMs","Bures"
12,"GI1",0.205086100498791,1,"Bures","Library 1: Pauli PVMs","Bures"
13,"GI1",0.186933900229828,1,"Bures","Library 1: Pauli PVMs","Bures"
14,"GI1",0.17266037235109,1,"Bures","Library 1: Pauli PVMs","Bures"
15,"GI1",0.159527309106909,1,"Bures","Library 1: Pauli PVMs","Bures"
16,"GI1",0.149919321106466,1,"Bures","Library 1: Pauli PVMs","Bures"
17,"GI1",0.141099751080752,1,"Bures","Library 1: Pauli PVMs","Bures"
18,"GI1",0.132620347434793,1,"Bures","Library 1: Pauli PVMs","Bures"
19,"GI1",0.125830329748715,1,"Bures","Library 1: Pauli PVMs","Bures"
20,"GI1",0.119538305648434,1,"Bures","Library 1: Pauli PVMs","Bures"
21,"GI1",0.113130589758769,1,"Bures","Library 1: Pauli PVMs","Bures"
22,"GI1",0.107804659252305,1,"Bures","Library 1: Pauli PVMs","Bures"
23,"GI1",0.102800949776064,1,"Bures","Library 1: Pauli PVMs","Bures"
24,"GI1",0.098287142827187,1,"Bures","Library 1: Pauli PVMs","Bures"
25,"GI1",0.0946901596466435,1,"Bures","Library 1: Pauli PVMs","Bures"
26,"GI1",0.0910852202368374,1,"Bures","Library 1: Pauli PVMs","Bures"
27,"GI1",0.0874831845648204,1,"Bures","Library 1: Pauli PVMs","Bures"
28,"GI1",0.0844069257009337,1,"Bures","Library 1: Pauli PVMs","Bures"
29,"GI1",0.081435635145402,1,"Bures","Library 1: Pauli PVMs","Bures"
30,"GI1",0.0786098103514882,1,"Bures","Library 1: Pauli PVMs","Bures"
31,"GI1",0.0761764355267082,1,"Bures","Library 1: Pauli PVMs","Bures"
32,"GI1",0.0738791081989433,1,"Bures","Library 1: Pauli PVMs","Bures"
33,"GI1",0.0715244223439182,1,"Bures","Library 1: Pauli PVMs","Bures"
34,"GI1",0.0695677915800049,1,"Bures","Library 1: Pauli PVMs","Bures"
35,"GI1",0.067560157320676,1,"Bures","Library 1: Pauli PVMs","Bures"
36,"GI1",0.0656722378061201,1,"Bures","Library 1: Pauli PVMs","Bures"
37,"GI1",0.0639693416238762,1,"Bures","Library 1: Pauli PVMs","Bures"
38,"GI1",0.0623060581301634,1,"Bures","Library 1: Pauli PVMs","Bures"
39,"GI1",0.0606672442510654,1,"Bures","Library 1: Pauli PVMs","Bures"
40,"GI1",0.0592546125257315,1,"Bures","Library 1: Pauli PVMs","Bures"
41,"GI1",0.0578416196270181,1,"Bures","Library 1: Pauli PVMs","Bures"
42,"GI1",0.0564468123166113,1,"Bures","Library 1: Pauli PVMs","Bures"
43,"GI1",0.0552042602684886,1,"Bures","Library 1: Pauli PVMs","Bures"
44,"GI1",0.0539368130704376,1,"Bures","Library 1: Pauli PVMs","Bures"
45,"GI1",0.0527020482889175,1,"Bures","Library 1: Pauli PVMs","Bures"
46,"GI1",0.0514661123887322,1,"Bures","Library 1: Pauli PVMs","Bures"
47,"GI1",0.0502586793638802,1,"Bures","Library 1: Pauli PVMs","Bures"
48,"GI1",0.0491284789136579,1,"Bures","Library 1: Pauli PVMs","Bures"
49,"GI1",0.0481075947745674,1,"Bures","Library 1: Pauli PVMs","Bures"
50,"GI1",0.0470506378087643,1,"Bures","Library 1: Pauli PVMs","Bures"
1,"Uniform",58492365.8283843,1,"Bures","Library 1: Pauli PVMs","Bures"
2,"Uniform",31106870.2486118,1,"Bures","Library 1: Pauli PVMs","Bures"
3,"Uniform",0.778439867322937,1,"Bures","Library 1: Pauli PVMs","Bures"
4,"Uniform",0.648713165292593,1,"Bures","Library 1: Pauli PVMs","Bures"
5,"Uniform",0.551003220389681,1,"Bures","Library 1: Pauli PVMs","Bures"
6,"Uniform",0.463210987509283,1,"Bures","Library 1: Pauli PVMs","Bures"
7,"Uniform",0.40297354626013,1,"Bures","Library 1: Pauli PVMs","Bures"
8,"Uniform",0.348811228896111,1,"Bures","Library 1: Pauli PVMs","Bures"
9,"Uniform",0.309134383456615,1,"Bures","Library 1: Pauli PVMs","Bures"
10,"Uniform",0.27753220213641,1,"Bures","Library 1: Pauli PVMs","Bures"
11,"Uniform",0.252279480923528,1,"Bures","Library 1: Pauli PVMs","Bures"
