"n","policy","mean_risk","lib_id","task_id","lib_label","task_label"
1,"Exact",100000000.43875,1,"Frob","Library 1: Pauli PVMs","Frobenius"
2,"Exact",50000000.9075,1,"Frob","Library 1: Pauli PVMs","Frobenius"
3,"Exact",1.32749998822744,1,"Frob","Library 1: Pauli PVMs","Frobenius"
4,"Exact",1.1070187411496,1,"Frob","Library 1: Pauli PVMs","Frobenius"
5,"Exact",0.930556243361123,1,"Frob","Library 1: Pauli PVMs","Frobenius"
6,"Exact",0.79791249490825,1,"Frob","Library 1: Pauli PVMs","Frobenius"
7,"Exact",0.699541245915935,1,"Frob","Library 1: Pauli PVMs","Frobenius"
8,"Exact",0.602351871962554,1,"Frob","Library 1: Pauli PVMs","Frobenius"
9,"Exact",0.530320622627667,1,"Frob","Library 1: Pauli PVMs","Frobenius"
10,"Exact",0.478836158747586,1,"Frob","Library 1: Pauli PVMs","Frobenius"
11,"Exact",0.399986159496053,1,"Frob","Library 1: Pauli PVMs","Frobenius"
12,"Exact",0.356839284782994,1,"Frob","Library 1: Pauli PVMs","Frobenius"
13,"Exact",0.324454284956377,1,"Frob","Library 1: Pauli PVMs","Frobenius"
14,"Exact",0.30146803505837,1,"Frob","Library 1: Pauli PVMs","Frobenius"
15,"Exact",0.282449910132614,1,"Frob","Library 1: Pauli PVMs","Frobenius"
16,"Exact",0.264830535199971,1,"Frob","Library 1: Pauli PVMs","Frobenius"
17,"Exact",0.249049285263241,1,"Frob","Library 1: Pauli PVMs","Frobenius"
18,"Exact",0.236315088875737,1,"Frob","Library 1: Pauli PVMs","Frobenius"
19,"Exact",0.224725193080022,1,"Frob","Library 1: Pauli PVMs","Frobenius"
20,"Exact",0.211492782412106,1,"Frob","Library 1: Pauli PVMs","Frobenius"
21,"Exact",0.202036086012233,1,"Frob","Library 1: Pauli PVMs","Frobenius"
22,"Exact",0.193910029485299,1,"Frob","Library 1: Pauli PVMs","Frobenius"
23,"Exact",0.185411755698533,1,"Frob","Library 1: Pauli PVMs","Frobenius"
24,"Exact",0.177723433207744,1,"Frob","Library 1: Pauli PVMs","Frobenius"
25,"Exact",0.171464706219741,1,"Frob","Library 1: Pauli PVMs","Frobenius"
26,"Exact",0.165089819871671,1,"Frob","Library 1: Pauli PVMs","Frobenius"
27,"Exact",0.158712582332961,1,"Frob","Library 1: Pauli PVMs","Frobenius"
28,"Exact",0.153192813572487,1,"Frob","Library 1: Pauli PVMs","Frobenius"
29,"Exact",0.148428695199941,1,"Frob","Library 1: Pauli PVMs","Frobenius"
30,"Exact",0.143924525316168,1,"Frob","Library 1: Pauli PVMs","Frobenius"
31,"Exact",0.13845619012376,1,"Frob","Library 1: Pauli PVMs","Frobenius"
32,"Exact",0.134192879692471,1,"Frob","Library 1: Pauli PVMs","Frobenius"
33,"Exact",0.129977014940182,1,"Frob","Library 1: Pauli PVMs","Frobenius"
34,"Exact",0.125140435333246,1,"Frob","Library 1: Pauli PVMs","Frobenius"
35,"Exact",0.120422384020378,1,"Frob","Library 1: Pauli PVMs","Frobenius"
36,"Exact",0.116351336065849,1,"Frob","Library 1: Pauli PVMs","Frobenius"
37,"Exact",0.112795727192646,1,"Frob","Library 1: Pauli PVMs","Frobenius"
38,"Exact",0.109381258940176,1,"Frob","Library 1: Pauli PVMs","Frobenius"
39,"Exact",0.106122147980283,1,"Frob","Library 1: Pauli PVMs","Frobenius"
40,"Exact",0.103325012087221,1,"Frob","Library 1: Pauli PVMs","Frobenius"
41,"Exact",0.100815163178002,1,"Frob","Library 1: Pauli PVMs","Frobenius"
42,"Exact",0.098185773445556,1,"Frob","Library 1: Pauli PVMs","Frobenius"
43,"Exact",0.0958958945766404,1,"Frob","Library 1: Pauli PVMs","Frobenius"
44,"Exact",0.093755555461873,1,"Frob","Library 1: Pauli PVMs","Frobenius"
45,"Exact",0.0916359897258707,1,"Frob","Library 1: Pauli PVMs","Frobenius"
46,"Exact",0.0894442164071883,1,"Frob","Library 1: Pauli PVMs","Frobenius"
47,"Exact",0.0874769486804748,1,"Frob","Library 1: Pauli PVMs","Frobenius"
48,"Exact",0.0856142976349252,1,"Frob","Library 1: Pauli PVMs","Frobenius"
49,"Exact",0.0837316193263613,1,"Frob","Library 1: Pauli PVMs","Frobenius"
50,"Exact",0.0817989802135806,1,"Frob","Library 1: Pauli PVMs","Frobenius"
1,"GI1",100000000.43875,1,"Frob","Library 1: Pauli PVMs","Frobenius"
2,"GI1",50000000.9075,1,"Frob","Library 1: Pauli PVMs","Frobenius"
3,"GI1",1.32749998822744,1,"Frob","Library 1: Pauli PVMs","Frobenius"
4,"GI1",1.10626874117002,1,"Frob","Library 1: Pauli PVMs","Frobenius"
5,"GI1",0.919693743557768,1,"Frob","Library 1: Pauli PVMs","Frobenius"
6,"GI1",0.793628119956153,1,"Frob","Library 1: Pauli PVMs","Frobenius"
7,"GI1",0.690786246045833,1,"Frob","Library 1: Pauli PVMs","Frobenius"
8,"GI1",0.604888746909159,1,"Frob","Library 1: Pauli PVMs","Frobenius"
9,"GI1",0.537442140391853,1,"Frob","Library 1: Pauli PVMs","Frobenius"
10,"GI1",0.475704551647631,1,"Frob","Library 1: Pauli PVMs","Frobenius"
11,"GI1",0.397158927395739,1,"Frob","Library 1: Pauli PVMs","Frobenius"
12,"GI1",0.355477677652119,1,"Frob","Library 1: Pauli PVMs","Frobenius"
13,"GI1",0.324759552813136,1,"Frob","Library 1: Pauli PVMs","Frobenius"
14,"GI1",0.303096427902184,1,"Frob","Library 1: Pauli PVMs","Frobenius"
15,"GI1",0.280019374437723,1,"Frob","Library 1: Pauli PVMs","Frobenius"
16,"GI1",0.262503303076091,1,"Frob","Library 1: Pauli PVMs","Frobenius"
17,"GI1",0.247801026343508,1,"Frob","Library 1: Pauli PVMs","Frobenius"
18,"GI1",0.234883704956934,1,"Frob","Library 1: Pauli PVMs","Frobenius"
19,"GI1",0.22194471690506,1,"Frob","Library 1: Pauli PVMs","Frobenius"
20,"GI1",0.211239121700857,1,"Frob","Library 1: Pauli PVMs","Frobenius"
21,"GI1",0.202404791367037,1,"Frob","Library 1: Pauli PVMs","Frobenius"
22,"GI1",0.194454627696347,1,"Frob","Library 1: Pauli PVMs","Frobenius"
23,"GI1",0.186548020574002,1,"Frob","Library 1: Pauli PVMs","Frobenius"
24,"GI1",0.179290812799369,1,"Frob","Library 1: Pauli PVMs","Frobenius"
25,"GI1",0.173131928884853,1,"Frob","Library 1: Pauli PVMs","Frobenius"
26,"GI1",0.167303886419505,1,"Frob","Library 1: Pauli PVMs","Frobenius"
27,"GI1",0.161566669170315,1,"Frob","Library 1: Pauli PVMs","Frobenius"
28,"GI1",0.156263029904775,1,"Frob","Library 1: Pauli PVMs","Frobenius"
29,"GI1",0.151357967060934,1,"Frob","Library 1: Pauli PVMs","Frobenius"
30,"GI1",0.146902296073804,1,"Frob","Library 1: Pauli PVMs","Frobenius"
31,"GI1",0.1422566510006,1,"Frob","Library 1: Pauli PVMs","Frobenius"
32,"GI1",0.137160361885523,1,"Frob","Library 1: Pauli PVMs","Frobenius"
33,"GI1",0.132135754838111,1,"Frob","Library 1: Pauli PVMs","Frobenius"
34,"GI1",0.12781227010313,1,"Frob","Library 1: Pauli PVMs","Frobenius"
35,"GI1",0.124145538612154,1,"Frob","Library 1: Pauli PVMs","Frobenius"
36,"GI1",0.120555746505252,1,"Frob","Library 1: Pauli PVMs","Frobenius"
37,"GI1",0.116660923223803,1,"Frob","Library 1: Pauli PVMs","Frobenius"
38,"GI1",0.113198478788378,1,"Frob","Library 1: Pauli PVMs","Frobenius"
39,"GI1",0.109846503386299,1,"Frob","Library 1: Pauli PVMs","Frobenius"
40,"GI1",0.107047872970749,1,"Frob","Library 1: Pauli PVMs","Frobenius"
41,"GI1",0.104285868150959,1,"Frob","Library 1: Pauli PVMs","Frobenius"
42,"GI1",0.101363603320791,1,"Frob","Library 1: Pauli PVMs","Frobenius"
43,"GI1",0.0989756858561486,1,"Frob","Library 1: Pauli PVMs","Frobenius"
44,"GI1",0.0965427450735638,1,"Frob","Library 1: Pauli PVMs","Frobenius"
45,"GI1",0.0940234196718057,1,"Frob","Library 1: Pauli PVMs","Frobenius"
46,"GI1",0.0916796940787725,1,"Frob","Library 1: Pauli PVMs","Frobenius"
47,"GI1",0.089458894802138,1,"Frob","Library 1: Pauli PVMs","Frobenius"
48,"GI1",0.0873648907140031,1,"Frob","Library 1: Pauli PVMs","Frobenius"
49,"GI1",0.0853340150889537,1,"Frob","Library 1: Pauli PVMs","Frobenius"
50,"GI1",0.0831413425875795,1,"Frob","Library 1: Pauli PVMs","Frobenius"
1,"Uniform",100000000.43875,1,"Frob","Library 1: Pauli PVMs","Frobenius"
2,"Uniform",50000000.9075,1,"Frob","Library 1: Pauli PVMs","Frobenius"
3,"Uniform",1.32749998822744,1,"Frob","Library 1: Pauli PVMs","Frobenius"
