"n","policy","mean_risk","lib_id","task_id","lib_label","task_label"
1,"Exact",69314772.1495369,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
2,"Exact",34657386.5517407,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
3,"Exact",0.920153588087803,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
4,"Exact",0.765137919301697,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
5,"Exact",0.640134473923525,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
6,"Exact",0.54596311201485,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
7,"Exact",0.471066910187525,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
8,"Exact",0.409915222239613,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
9,"Exact",0.361529460849296,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
10,"Exact",0.322452426817864,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
11,"Exact",0.276712561120855,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
12,"Exact",0.245771526326621,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
13,"Exact",0.22265649096465,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
14,"Exact",0.20421577315541,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
15,"Exact",0.189141414992416,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
16,"Exact",0.176387375383908,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
17,"Exact",0.165773588567575,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
18,"Exact",0.155740295312145,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
19,"Exact",0.147704536863983,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
20,"Exact",0.140238912482306,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
21,"Exact",0.133199966459067,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
22,"Exact",0.127234465779776,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
23,"Exact",0.121443017369535,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
24,"Exact",0.116251884820992,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
25,"Exact",0.111524892429009,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
26,"Exact",0.107129139083996,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
27,"Exact",0.103002745628708,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
28,"Exact",0.0993213393432552,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
29,"Exact",0.0957487287251489,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
30,"Exact",0.0924555313680961,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
31,"Exact",0.0894621795010648,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
32,"Exact",0.0866252992296145,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
33,"Exact",0.0839152779284632,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
34,"Exact",0.081466265779861,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
35,"Exact",0.0791268686027709,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
36,"Exact",0.076901305881319,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
37,"Exact",0.0748436480721539,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
38,"Exact",0.0728891412504319,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
39,"Exact",0.0709969792962162,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
40,"Exact",0.0692401526858497,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
41,"Exact",0.0675563235647945,2,"LogCosh","Library 2: Nine-axis PVMs","LogCosh"
