"n","policy","mean_risk","lib_id","task_id","lib_label","task_label"
1,"Exact",100000000.43875,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
2,"Exact",50000000.9075,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
3,"Exact",1.32749998822744,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
4,"Exact",1.10385982515828,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
5,"Exact",0.923518114365456,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
6,"Exact",0.787657662976118,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
7,"Exact",0.679605367868872,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
8,"Exact",0.59138219938714,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
9,"Exact",0.52157635555024,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
10,"Exact",0.465200156089352,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
11,"Exact",0.399211529885669,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
12,"Exact",0.35457308706826,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
13,"Exact",0.321225166060137,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
14,"Exact",0.294620854571721,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
15,"Exact",0.272876955620137,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
16,"Exact",0.254472994266326,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
17,"Exact",0.239158157035614,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
18,"Exact",0.224684401658681,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
19,"Exact",0.213074585458725,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
20,"Exact",0.202284969579988,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
21,"Exact",0.192142820607729,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
22,"Exact",0.183539441062244,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
23,"Exact",0.175172974011022,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
24,"Exact",0.167685367363427,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
25,"Exact",0.160879667348135,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
26,"Exact",0.154535803198392,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
27,"Exact",0.148584985165113,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
28,"Exact",0.143282864642694,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
29,"Exact",0.138136313283084,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
30,"Exact",0.133381100791741,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
31,"Exact",0.129059204124331,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
32,"Exact",0.124963791836506,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
33,"Exact",0.12105332218979,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
34,"Exact",0.117518967793337,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
35,"Exact",0.114148902812922,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
36,"Exact",0.110937834142886,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
37,"Exact",0.10797409932308,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
38,"Exact",0.105151469446606,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
39,"Exact",0.102418502338115,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
40,"Exact",0.0998855415959562,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
41,"Exact",0.0974520593637117,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
42,"Exact",0.0951507440156018,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
43,"Exact",0.0929374647159355,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
44,"Exact",0.0908188228204148,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
45,"Exact",0.088781668274871,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
46,"Exact",0.0868505742845944,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
47,"Exact",0.0849955807584803,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
48,"Exact",0.0832215186677459,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
49,"Exact",0.081519742801904,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
50,"Exact",0.079863127670383,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
1,"GI1",100000000.43875,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
2,"GI1",50000000.9075,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
3,"GI1",1.32749998822744,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
4,"GI1",1.10509576042751,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
5,"GI1",0.92391352366214,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
6,"GI1",0.785150964918565,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
7,"GI1",0.683621474017157,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
8,"GI1",0.595030683973977,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
9,"GI1",0.525878019044253,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
10,"GI1",0.473212219840805,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
11,"GI1",0.401118724288157,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
12,"GI1",0.353755874660988,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
13,"GI1",0.320879668421257,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
14,"GI1",0.295058102544887,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
15,"GI1",0.273414661572444,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
16,"GI1",0.255883343532338,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
17,"GI1",0.240303536346319,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
18,"GI1",0.226217269272817,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
19,"GI1",0.214182645790759,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
20,"GI1",0.203066842254665,2,"Frob","Library 2: Nine-axis PVMs","Frobenius"
